date,close,usd_close,selic
2023-03-17,101982.0,5.2778,13.75
2023-03-16,103435.0,5.2285,13.75
2023-03-15,102675.0,5.2882,13.75
2023-03-14,102932.0,5.2543,13.75
2023-03-13,103121.0,5.2459,13.75
2023-03-10,103618.0,5.2166,13.75
2023-03-09,105071.0,5.1645,13.75
2023-03-08,10654.0,5.1453,13.75
2023-03-07,104228.0,5.191,13.75
2023-03-06,1047.0,5.1534,13.75
2023-03-03,103866.0,5.1956,13.75
2023-03-02,103326.0,5.2006,13.75
2023-03-01,104385.0,5.1794,13.75
2023-02-28,104932.0,5.2367,13.75
2023-02-27,105711.0,5.2008,13.75
2023-02-24,105798.0,5.21,13.75
2023-02-23,107593.0,5.1373,13.75
2023-02-22,107152.0,5.1522,13.75
2023-02-17,109177.0,5.1674,13.75
2023-02-16,109941.0,5.2178,13.75
2023-02-15,1096.0,5.219,13.75
2023-02-14,107849.0,5.1923,13.75
2023-02-13,108836.0,5.1596,13.75
2023-02-10,108078.0,5.2151,13.75
2023-02-09,108008.0,5.2911,13.75
2023-02-08,109951.0,5.2007,13.75
2023-02-07,10783.0,5.2101,13.75
2023-02-06,108722.0,5.1464,13.75
2023-02-03,108523.0,5.1522,13.75
2023-02-02,110141.0,5.0504,13.75
2023-02-01,112074.0,5.0547,13.75
2023-01-31,113431.0,5.0731,13.75
2023-01-30,112273.0,5.1162,13.75
2023-01-27,112316.0,5.1089,13.75
2023-01-26,114178.0,5.0658,13.75
2023-01-25,11427.0,5.0734,13.75
2023-01-24,113028.0,5.1392,13.75
2023-01-23,111737.0,5.2076,13.75
2023-01-20,112041.0,5.2074,13.75
2023-01-19,112922.0,5.1741,13.75
2023-01-18,112228.0,5.1863,13.75
2023-01-17,111439.0,5.1003,13.75
2023-01-16,109213.0,5.1474,13.75
2023-01-13,110916.0,5.0956,13.75
2023-01-12,11185.0,5.1082,13.75
2023-01-11,112517.0,5.16,13.75
2023-01-10,110817.0,5.1997,13.75
2023-01-09,10913.0,5.2546,13.75
2023-01-06,108964.0,5.2254,13.75
2023-01-05,107641.0,5.3509,13.75
2023-01-04,105334.0,5.4312,13.75
2023-01-03,104166.0,5.4797,13.75
2023-01-02,106376.0,5.3633,13.75
2022-12-29,109735.0,5.286,13.75
2022-12-28,110237.0,5.2676,13.75
2022-12-27,108578.0,5.2928,13.75
2022-12-26,108738.0,5.2186,13.75
2022-12-23,109698.0,5.1652,13.75
2022-12-22,107552.0,5.1665,13.75
2022-12-21,107433.0,5.2009,13.75
2022-12-20,106864.0,5.1996,13.75
2022-12-19,10474.0,5.293,13.75
2022-12-16,102856.0,5.314,13.75
2022-12-15,103738.0,5.313,13.75
2022-12-14,103746.0,5.2787,13.75
2022-12-13,10354.0,5.2938,13.75
2022-12-12,105343.0,5.3226,13.75
2022-12-09,10752.0,5.24,13.75
2022-12-08,107249.0,5.2253,13.75
2022-12-07,109069.0,5.2048,13.75
2022-12-06,110189.0,5.2352,13.75
2022-12-05,109401.0,5.2809,13.75
2022-12-02,111924.0,5.2189,13.75
2022-12-01,110926.0,5.1848,13.75
2022-11-30,112486.0,5.1851,13.75
2022-11-29,11091.0,5.2695,13.75
2022-11-28,108782.0,5.3654,13.75
2022-11-25,108977.0,5.4098,13.75
2022-11-24,111831.0,5.3208,13.75
2022-11-23,108841.0,5.3591,13.75
2022-11-22,109037.0,5.3586,13.75
2022-11-21,109748.0,5.32,13.75
2022-11-18,10887.0,5.3827,13.75
2022-11-17,109703.0,5.4231,13.75
2022-11-16,110243.0,5.3998,13.75
2022-11-14,113161.0,5.3321,13.75
2022-11-11,112253.0,5.325,13.75
2022-11-10,109775.0,5.3449,13.75
2022-11-09,11358.0,5.1864,13.75
2022-11-08,11616.0,5.144,13.75
2022-11-07,115342.0,5.1567,13.75
2022-11-04,118155.0,5.0557,13.75
2022-11-03,116896.0,5.1137,13.75
2022-11-01,116929.0,5.1475,13.75
2022-10-31,116037.0,5.1791,13.75
2022-10-28,114539.0,5.2949,13.75
2022-10-27,114641.0,5.3449,13.75
2022-10-26,112764.0,5.3804,13.75
2022-10-25,114626.0,5.3167,13.75
2022-10-24,116013.0,5.3032,13.75
2022-10-21,119929.0,5.1605,13.75
2022-10-20,117171.0,5.2147,13.75
2022-10-19,116274.0,5.27,13.75
2022-10-18,115743.0,5.2405,13.75
2022-10-17,113624.0,5.2808,13.75
2022-10-14,112072.0,5.3252,13.75
2022-10-13,1143.0,5.2626,13.75
2022-10-11,114827.0,5.3005,13.75
2022-10-10,115941.0,5.1901,13.75
2022-10-07,116375.0,5.1996,13.75
2022-10-06,117561.0,5.2217,13.75
2022-10-05,117198.0,5.194,13.75
2022-10-04,11623.0,5.177,13.75
2022-10-03,116134.0,5.1672,13.75
2022-09-30,110037.0,5.4154,13.75
2022-09-29,107664.0,5.3964,13.75
2022-09-28,108451.0,5.3745,13.75
2022-09-27,108376.0,5.3824,13.75
2022-09-26,109114.0,5.3898,13.75
2022-09-23,111716.0,5.2595,13.75
2022-09-22,11407.0,5.1166,13.75
2022-09-21,111936.0,5.1716,13.75
2022-09-20,112517.0,5.1417,13.75
2022-09-19,111824.0,5.167,13.75
2022-09-16,10928.0,5.2531,13.75
2022-09-15,109954.0,5.247,13.75
2022-09-14,110547.0,5.1631,13.75
2022-09-13,110794.0,5.1911,13.75
2022-09-12,113407.0,5.093,13.75
2022-09-09,1123.0,5.1462,13.75
2022-09-08,109916.0,5.2141,13.75
2022-09-06,109764.0,5.2528,13.75
2022-09-05,112203.0,5.1516,13.75
2022-09-02,110864.0,5.1681,13.75
2022-09-01,110405.0,5.2416,13.75
2022-08-31,109523.0,5.1831,13.75
2022-08-30,110431.0,5.1223,13.75
2022-08-29,112323.0,5.0282,13.75
2022-08-26,112299.0,5.0601,13.75
2022-08-25,113532.0,5.1099,13.75
2022-08-24,112898.0,5.1114,13.75
